"Continent","Count"
NA,9772
"ASM",193
"AIA",1
"ATA",9709
"ATG",10
"ARG",33
"ABW",13
"AUS",1014
"BHS",49
"BRB",28
"BEL",6
"BLZ",10
"BMU",24
"BRA",64
"VGB",3
"CAN",312
"CYM",1
"CAF",1
"TCD",1
"CHL",363
"CHN",89
"COL",220
"COM",3
"CRI",7191
"CUB",5
"CUW",81
"DNK",3
"DOM",5
"ECU",2833
"EGY",18
"SLV",82
"ERI",1
"FSM",126
"FJI",27
"FRA",145
"GUF",43
"PYF",145
"ATF",4
"DEU",4
"GRL",1
"GUM",104
"GTM",66
"GIN",2
"GUY",2
"HTI",14
"HND",1183
"IND",31
"IDN",3770
"IRN",1
"IRL",3
"ISR",38
"ITA",17
"JAM",1821
"JPN",151
"KEN",386
"KIR",214
"MDG",89
"MWI",1
"MDV",1
"MHL",695
"MRT",5
"MEX",23660
"MAR",3
"MOZ",4
"NRU",12
"NLD",76
"NCL",8
"NZL",240
"NIC",57
"NGA",5
"MNP",77
"NOR",1
"PAK",2091
"PLW",159
"PAN",1304
"PNG",6
"PER",3234
"PHL",2305
"PCN",1
"PRT",5
"PRI",577
"ROU",14
"RUS",6
"WSM",4
"SEN",4
"SYC",17
"SGP",5
"SLB",105
"ZAF",10
"SGS",11
"KOR",7
"ESP",7
"LKA",21
"SDN",1
"SUR",3
"SWE",2
"TWN",3
"TZA",2
"THA",19
"TTO",108
"UGA",9
"GBR",136
"USA",100258
"UMI",126
"URY",18
"VEN",1507
"VNM",15
"VIR",16
"YEM",12
"ZMB",1
