"ASIHCode","bluegill.individualCount"
"UWFC",7737341
"TU",7407686
"MSB",4124167
"UMMZ",3403057
"LACM",2802686
"USNM",2631459
"UF",2447738
"OKMNH",1990809
"CAS",1586709
"SIO",1514366
"ANSP",1500114
"CU",1286124
"UAIC",1114630
"NCSM",1092643
"MMNS",1015618
"INHS",893705
"FMNH",893458
"TCWC",826810.5
"AUM",728806
"KU",529073
"OSM",459979
"JFBM",338427
"LSUMZ",329902
"YPM",280086
"VIMS",240585
"MCZ",167243
"ARK",157856
"OS",132581
"BPBM",103425
"UWZM",57170
"UAM",49921
"UCM",38527
"WNMU",3482
"UTEP",3314
"FSUCML",2460
"CSUC",2212
"SBMNH",1999
"SUI",25
"CHAS",14
"MSUM",0
"TNHC",0
